key,es,en
LABEL_SELECT_DATA_PANEL, "Seleccionar datos", "Select data"
LABEL_MANAGE_FILES_PANEL, "Gestionar ficheros", "Manage files"
LABEL_SELECT_DATA_HEADER, "Selección de fichero de datos para diagramas", "Data file selection for diagrams"
LABEL_SELECT_DATA_TIP, "Seleccione un fichero de datos de los existentes en el servidor para realizar el análisis y mostrar los distintos diagramas disponibles (ziggurat, polar e histogramas)", "Select an existing datafile in server to make the analysis and show available diagrams (ziggurat, polar and histogram)"
LABEL_DATA_CONTENT_HEADER, "Contenido del fichero", "File content"
LABEL_FILE_UPLOAD_HEADER, "Incorporación de ficheros al sistema", "File uploading"
LABEL_FILE_LAST_UPLOADED_HEADER, "Ultimos ficheros incorporados", "Last uploaded files"
LABEL_FILE_UPLOAD_TIP, "Seleccione un fichero de datos de su equipo para incluir en el sistema y posteriormente poder realizar el análisis", "Select a datafile from your computer to upload into the system and then make the analysis"
LABEL_AVAILABLE_FILES, "Ficheros disponibles", "Available files"
LABEL_SELECT_DATAFILE_CONTROL, "Fichero de datos", "Data file"
LABEL_SELECT_DATAFILE_LOADING, "Cargando...", "Loading..."
LABEL_UPLOAD_FILES_CONTROL, "Subir ficheros", "Upload files"
LABEL_REFRESH_FILES_CONTROL, "Refrescar", "Refresh"
LABEL_DELETE_FILES_CONTROL, "Borrar", "Delete"
LABEL_ZIGGURAT_DIAGRAM_PANEL, "Diagrama", "Diagram"
LABEL_ZIGGURAT_CONFIG_PANEL, "Configuración", "Configuration"
LABEL_ZIGGURAT_DIAGRAM_HEADER, "Diagrama", "Diagram"
LABEL_ZIGGURAT_DIAGRAM_INFO_HEADER, "Información", "Information"
LABEL_ZIGGURAT_DIAGRAM_WIKI_HEADER, "Wikipedia", "Wikipedia"
LABEL_ZIGGURAT_CONFIG_VISUALIZATION_PANEL, "Visualización", "Visualization"
LABEL_ZIGGURAT_CONFIG_VISUALIZATION_GENERAL_HEADER, "General", "General"
LABEL_ZIGGURAT_CONFIG_VISUALIZATION_SIZES_HEADER, "Tamaños", "Sizes"
LABEL_ZIGGURAT_CONFIG_COLOURS_PANEL, "Colores", "Colours"
LABEL_ZIGGURAT_CONFIG_COLOURS_NODES_HEADER, "Nodos", "Nodes"
LABEL_ZIGGURAT_CONFIG_COLOURS_LINKS_HEADER, "Enlaces", "Links"
LABEL_ZIGGURAT_CONFIG_LABELS_PANEL, "Etiquetas", "Labels"
LABEL_ZIGGURAT_CONFIG_LABELS_SIZE_HEADER, "Tamaño", "Size"
LABEL_ZIGGURAT_CONFIG_LABELS_COLOUR_HEADER, "Color", "Colours"
LABEL_ZIGGURAT_PAINT_LINKS_CONTROL, "Mostrar enlaces", "Show links"
LABEL_ZIGGURAT_DISPLAY_LABELS_CONTROL, "Mostrar etiquetas", "Show labels"
LABEL_ZIGGURAT_FLIP_RESULT_CONTROL, "Invertir resultado", "Flip result"
LABEL_ZIGGURAT_ASPECT_RATIO_CONTROL, "Relación de aspecto", "Aspect ratio"
LABEL_ZIGGURAT_ALPHA_LEVEL_CONTROL, "Transparencia", "Alpha level"
LABEL_ZIGGURAT_ALPHA_LEVEL_LINK_CONTROL, "Transparencia", "Alpha level"
LABEL_ZIGGURAT_LINK_SIZE_CONTROL, "Grosor de los enlaces", "Link size"
LABEL_ZIGGURAT_COREBOX_SIZE_CONTROL, "Grosor del borde de los core box", "Core box border size"
LABEL_ZIGGURAT_HEIGHT_EXPAND_CONTROL, "Expasión de altura", "Height expand"
LABEL_ZIGGURAT_KCORE2_TAIL_VERTICAL_SEPARATION_CONTROL, "Distancia cola-kcore2", "Tail-kcore2 distance"
LABEL_ZIGGURAT_INNER_TAIL_VERTICAL_SEPARATION_CONTROL, "Separacion vertical interna en la cola", "Tail inner vertical separation"
LABEL_ZIGGURAT_SVG_SCALE_FACTOR_CONTROL, "Factor de escala SVG", "SVG scale factor"

